energy,theta,2theta,IT_cps_ave,I0_cps_ave
8208.0,83.0633,166.56665,144074.666584,195549.934306
8210.5,82.91675,166.27355,143755.57975,194935.183326
8213.0,82.77335,165.9867,142060.603724,193117.326379
8215.5,82.6329,165.7058,144227.089134,195520.484793
8218.0,82.4952,165.43045,144260.903057,195915.64396
8220.5,82.36015,165.1603,144504.901732,196226.737473
8223.0,82.22755,164.89515,144471.568196,196242.176331
8225.5,82.09735,164.6347,144513.671421,196280.999373
8228.0,81.96935,164.3787,144635.965434,196474.518766
8230.5,81.8435,164.12695,145080.459387,196634.255621
8233.0,81.71965,163.8793,145265.845584,196741.054314
8235.5,81.59775,163.6355,145384.094833,196983.388587
8238.0,81.4777,163.3954,145552.45538,197089.99251
8240.5,81.3594,163.1588,144036.466106,194792.193779
8243.0,81.24285,162.92565,145863.204017,197509.860378
8245.5,81.12785,162.69575,147190.219184,198954.020199
8248.0,81.0145,162.46895,147886.495423,199980.193718
8250.5,80.9026,162.2452,148992.462564,201311.215629
8253.0,80.79215,162.0243,151232.574385,204401.653555
8255.5,80.6831,161.8062,157458.682259,212100.264822
8258.0,80.5754,161.5908,161786.406997,217826.942771
8260.5,80.469,161.37805,158094.51435,212663.62375
8263.0,80.36385,161.16775,151621.534278,205129.990386
8265.5,80.25995,160.9599,147935.38084,200344.190644
8268.0,80.1572,160.75435,146198.353667,197769.504296
8270.5,80.05555,160.55115,145320.708148,196533.248737
8273.0,79.95505,160.3501,145032.856613,195763.901111
8275.5,79.8556,160.1512,144461.768713,195423.794054
8278.0,79.7572,159.95435,144375.900871,194934.180035
8280.5,79.6598,159.75955,143887.16884,194813.372857
8283.0,79.56335,159.5667,143738.780131,194678.23766
8285.5,79.46785,159.37575,143482.236337,193969.74627
8288.0,79.3733,159.1866,143379.633673,194055.881885
8290.5,79.27965,158.9993,146132.560717,197860.937416
8293.0,79.18685,158.81375,143614.979067,194570.9751
8295.5,79.09495,158.62985,141125.634643,191470.00072
8298.0,79.00385,158.44765,141453.889024,191974.093393
8300.5,78.91355,158.26705,141406.618609,192119.583411
8303.0,78.82405,158.08805,141121.505354,191951.751801
8305.5,78.7353,157.9106,140831.166506,191677.429535
8308.0,78.6473,157.7346,140294.448689,191173.386672
8310.5,78.56005,82.6537,139574.701853,191140.478706
8313.0,78.47355,157.38705,139115.586138,190692.79629
8315.0,78.4048,157.2496,138301.454071,190940.370225
8315.25,78.39625,157.2325,138256.659693,190682.059512
8315.5,78.3877,206.8454,138273.130528,190918.955851
8315.75,78.37915,157.1983,137872.560801,191203.405803
8316.0,78.3706,157.1812,137975.885826,190816.695311
8316.25,78.3621,157.16415,137838.581651,190934.580974
8316.5,78.35355,157.1471,137554.942183,190754.657245
8316.75,78.34505,157.13005,137530.271139,190856.038542
8317.0,78.3365,157.11305,137365.26299,190778.025798
8317.25,78.328,157.09605,137071.482825,190925.326013
8317.5,78.3195,157.07905,136980.597019,190714.911697
8317.75,78.31105,157.06205,136632.093027,190665.686463
8318.0,78.30255,157.0451,136392.741584,190466.173328
8318.25,78.29405,157.02815,135851.411816,190592.064331
8318.5,78.2856,157.0112,135473.731781,190443.295847
8318.75,78.27715,156.99425,135370.225415,190084.826535
8319.0,78.26865,156.97735,134756.90881,190122.991613
8319.25,78.2602,156.96045,134139.896702,190287.1125
8319.5,78.2518,82.6537,133780.177299,190452.58532
8319.75,78.24335,156.9267,133231.133935,190339.101007
8320.0,78.2349,156.9098,132886.413376,190519.987776
8320.25,78.2265,156.89295,132054.71698,191086.26115
8320.5,78.21805,82.6537,131449.919337,191094.743413
8320.75,78.20965,156.8593,130608.963301,191189.702089
8321.0,78.20125,156.8425,129101.416549,191206.357834
8321.25,78.19285,156.8257,127962.071792,191733.954028
8321.5,78.18445,156.8089,126072.299939,191807.235987
8321.75,78.17605,156.79215,123715.037058,192010.241409
8322.0,78.1677,156.7754,122014.425615,192528.213973
8322.25,78.1593,156.75865,119167.615255,192556.151714
8322.5,78.15095,156.7419,116458.651221,192826.13988
8322.75,78.1426,156.7252,113664.72577,193320.768702
8323.0,78.13425,156.7085,110630.894938,193309.35113
8323.25,78.1259,156.6918,107346.537192,193241.6084
8323.5,78.11755,156.6751,104263.195829,193973.328592
8323.75,78.1092,156.65845,101019.735639,194306.07508
8324.0,78.1009,156.6418,97796.380603,194414.566649
8324.25,78.09255,156.62515,95080.852415,194932.939977
8324.5,78.08425,156.6085,91841.624967,195243.974578
8324.75,78.07595,156.5919,89042.728719,195235.596356
8325.0,78.06765,156.5753,86664.986099,195938.53665
8325.25,78.05935,156.5587,83952.818066,196030.524954
8325.5,78.05105,156.5421,81722.534973,196298.084366
8325.75,78.04275,156.52555,79861.377353,196853.002582
8326.0,78.0345,156.509,77627.86615,196836.38018
8326.25,78.0262,156.49245,75873.142919,196880.209874
8326.5,78.01795,156.4759,74298.251751,196979.295139
8326.75,78.0097,156.4594,72785.510627,197096.114301
8327.0,78.00145,156.4429,71263.080403,197042.124294
8327.25,77.9932,156.4264,70027.929504,197151.041249
8327.5,77.98495,156.4099,68497.142268,197190.413035
8327.75,77.97675,156.39345,67431.983921,197000.0008
8328.0,77.9685,156.377,66350.594127,196866.828831
8328.25,77.9603,156.36055,65096.45214,196476.959711
8328.5,77.95205,156.3441,63787.238527,196184.181962
8328.75,77.94385,156.3277,62823.905128,195775.059049
8329.0,77.93565,156.3113,61482.90124,195637.528762
8329.25,77.92745,156.2949,60346.374318,195040.133856
8329.5,77.91925,156.2785,59312.881872,194542.200007
8329.75,77.91105,156.26215,58266.828555,194585.658554
8330.0,77.9029,156.2458,57235.028369,194128.295488
8330.25,77.8947,156.22945,56109.594053,193724.802976
8330.5,77.88655,156.2131,54721.327734,193449.72879
8330.75,77.8784,156.1968,53887.753069,193263.175081
8331.0,77.87025,156.18045,52765.028872,192615.727219
8331.25,77.8621,156.1642,51676.84927,192575.331765
8331.5,77.85395,156.1479,50683.543018,192277.092153
8331.75,77.8458,156.1316,49441.031446,191860.201076
8332.0,77.8377,156.11535,48333.399298,191378.256348
8332.25,77.82955,156.0991,47261.005334,191126.767785
8332.5,77.82145,156.08285,46140.839484,190972.224898
8332.75,77.8133,156.06665,45053.212581,190622.863444
8333.0,77.8052,156.0504,43777.833601,190737.254797
8333.25,77.7971,156.0342,42441.123444,190521.386762
8333.5,77.789,156.01805,41428.016583,189958.43754
8333.75,77.78095,156.00185,40241.18838,189966.11605
8334.0,77.77285,155.9857,38962.695208,189610.367566
8334.25,77.76475,155.9695,37686.614082,189848.01705
8334.5,77.7567,155.9534,36399.677233,189316.761178
8334.75,77.7486,155.93725,35362.642772,189437.018137
8335.0,77.74055,155.92115,33943.913668,189022.983158
8335.25,77.7325,155.905,32904.479311,188879.02283
8335.5,77.72445,155.8889,31834.459418,188905.341827
8335.75,77.7164,155.87285,30568.618287,188593.248446
8336.0,77.7084,155.85675,29595.576241,188625.714128
8336.25,77.70035,155.8407,28401.675788,188607.631423
8336.5,77.6923,155.82465,27557.718994,188119.579134
8336.75,77.6843,155.8086,26593.59013,188030.951242
8337.0,77.6763,155.79255,25620.709453,187989.228204
8337.25,77.6683,155.77655,24818.95041,188488.90963
8337.5,77.66025,155.76055,24035.154349,187940.267834
8337.75,77.6523,155.74455,23251.272923,187911.328686
8338.0,77.6443,155.72855,22674.833274,187896.38789
8338.25,77.6363,155.7126,22072.422546,187904.900653
